Iteration #,Relative Residual
1,0.995122
2,0.994862
3,0.993635
4,0.968119
5,0.943395
6,0.903534
7,0.878083
8,0.863346
9,0.830016
10,0.828582
11,0.826934
12,0.826445
13,0.815659
14,0.812232
15,0.794887
16,0.790454
17,0.778855
18,0.759335
19,0.745312
20,0.727608
21,0.715741
22,0.707831
23,0.702967
24,0.693112
25,0.678388
26,0.656416
27,0.644461
28,0.64152
29,0.634416
30,0.632214
31,0.628454
32,0.621731
33,0.611442
34,0.606469
35,0.571857
36,0.555473
37,0.534813
38,0.524954
39,0.513818
40,0.5134
41,0.513394
42,0.510353
43,0.476887
44,0.447129
45,0.439023
46,0.432822
47,0.42967
48,0.423756
49,0.416745
50,0.412529
51,0.406857
52,0.404653
53,0.403234
54,0.402962
55,0.401142
56,0.39507
57,0.389278
58,0.379903
59,0.368904
60,0.356276
61,0.351126
62,0.347086
63,0.345755
64,0.343005
65,0.340833
66,0.339531
67,0.335624
68,0.332591
69,0.326452
70,0.32324
71,0.314561
72,0.299624
73,0.2941
74,0.291478
75,0.290538
76,0.289394
77,0.288715
78,0.285033
79,0.272085
80,0.268163
81,0.255957
82,0.251883
83,0.247192
84,0.244803
85,0.243109
86,0.241485
87,0.240622
88,0.238581
89,0.237391
90,0.23556
91,0.227901
92,0.21566
93,0.194109
94,0.187308
95,0.183106
96,0.182054
97,0.18068
98,0.174431
99,0.163181
100,0.161658
101,0.161452
102,0.161208
103,0.160827
104,0.160447
105,0.160029
106,0.158478
107,0.155975
108,0.154407
109,0.153638
110,0.153047
111,0.150939
112,0.150176
113,0.149637
114,0.14882
115,0.148235
116,0.146733
117,0.145261
118,0.143398
119,0.141541
120,0.140232
121,0.139
122,0.137407
123,0.135411
124,0.134147
125,0.132421
126,0.131834
127,0.13114
128,0.130687
129,0.129387
130,0.12825
131,0.124664
132,0.123327
133,0.122196
134,0.119904
135,0.119093
136,0.116367
137,0.114163
138,0.113328
139,0.113039
140,0.112576
141,0.112327
142,0.111878
143,0.111218
144,0.11014
145,0.107811
146,0.106204
147,0.104395
148,0.10272
149,0.10091
150,0.0995784
151,0.0986066
152,0.0980651
153,0.0976078
154,0.0967865
155,0.0957782
156,0.0954661
157,0.0941385
158,0.0933567
159,0.0924832
160,0.0901977
161,0.087151
162,0.0845696
163,0.0830617
164,0.0823314
165,0.0821799
166,0.0817272
167,0.0802934
168,0.0791851
169,0.0768689
170,0.075527
171,0.0746135
172,0.0708685
173,0.0692183
174,0.0684804
175,0.0679282
176,0.0667938
177,0.0659408
178,0.0642271
179,0.0635777
180,0.0613668
181,0.0588866
182,0.0575123
183,0.0566463
184,0.0562881
185,0.0560779
186,0.0551177
187,0.0537666
188,0.0511957
189,0.0490018
190,0.0485181
191,0.0481611
192,0.0478765
193,0.0472025
194,0.0469012
195,0.0466922
196,0.0453049
197,0.0435671
198,0.0423677
199,0.03968
200,0.0391591
201,0.0391069
202,0.0390235
203,0.03894
204,0.0388473
205,0.0388024
206,0.0386231
207,0.0383925
208,0.0382731
209,0.0382303
210,0.0381882
211,0.0380996
212,0.0379105
213,0.0372782
214,0.0371191
215,0.0368869
216,0.0364992
217,0.0361559
218,0.0356514
219,0.0351452
220,0.0347663
221,0.0346478
222,0.0344422
223,0.0342333
224,0.034021
225,0.0332191
226,0.0328926
227,0.0327289
228,0.0326254
229,0.0323229
230,0.032097
231,0.0310832
232,0.0299469
233,0.0291343
234,0.0286531
235,0.028174
236,0.0280452
237,0.0278301
238,0.0276679
239,0.0274684
240,0.0274044
241,0.0272036
242,0.0270039
243,0.0268219
244,0.026312
245,0.0258153
246,0.0255512
