Iteration #,Residual (2-norm),Residual (A-norm)
43400,0.00144422,0.0115601
43600,0.00425459,0.0115245
43800,0.00198328,0.0114936
44000,0.00174287,0.0114761
44200,0.000815971,0.0114725
44400,0.00155885,0.0114698
44600,0.00133621,0.0114514
44800,0.00185614,0.0113912
45000,0.00103544,0.011354
45200,0.000951165,0.0113499
45400,0.000930524,0.0113467
45600,0.00173415,0.0113251
45800,0.00212156,0.0112277
46000,0.00160371,0.0111679
46200,0.000936241,0.0111593
46400,0.00153558,0.0111558
46600,0.00367327,0.0111356
46800,0.00354943,0.0110461
47000,0.00388413,0.0109582
47200,0.00115254,0.0109429
47400,0.000778587,0.0109385
47600,0.00208398,0.0109226
47800,0.0033771,0.0108495
48000,0.00362787,0.0107288
48200,0.00196774,0.0106676
48400,0.0011091,0.0106472
48600,0.00158356,0.0106366
48800,0.0032156,0.0106229
49000,0.00236684,0.0106062
49200,0.00352177,0.0105702
49400,0.00180732,0.010459
49600,0.00261198,0.0103411
49800,0.00182453,0.0102899
50000,0.00494349,0.0102563
50200,0.00191986,0.0102285
50400,0.00207483,0.01022
50600,0.00485418,0.0101868
50800,0.00402225,0.00998018
51000,0.00530878,0.00970004
51200,0.00262296,0.00964379
51400,0.00147936,0.00962533
51600,0.00178153,0.00960565
51800,0.00412012,0.00957078
52000,0.00306244,0.00946489
52200,0.00533753,0.00925831
52400,0.00459114,0.00898961
52600,0.00213236,0.008938
52800,0.000630354,0.00892659
53000,0.00171769,0.00887128
53200,0.0075817,0.00857799
53400,0.0058748,0.00815936
53600,0.00131157,0.00805365
53800,0.0018238,0.00803795
54000,0.0031648,0.00801464
54200,0.00429667,0.00786621
54400,0.00675068,0.00749956
54600,0.00306972,0.00730131
54800,0.000865356,0.00722987
55000,0.00195778,0.00720198
55200,0.00122398,0.00718037
55400,0.00767315,0.00708737
55600,0.00687889,0.00669516
55800,0.0037093,0.00631849
56000,0.00166859,0.00622625
56200,0.00195855,0.00621004
56400,0.00189641,0.00618002
56600,0.00596768,0.00598758
56800,0.00376024,0.0057339
57000,0.00292315,0.00568138
57200,0.00337677,0.00558311
57400,0.00163154,0.00541334
57600,0.00200043,0.00534764
57800,0.0018056,0.00533257
58000,0.00220637,0.00531336
58200,0.00288651,0.00520397
58400,0.00762805,0.00497816
58600,0.0016905,0.00476026
58800,0.00114403,0.00473139
59000,0.00190726,0.00472436
59200,0.00220931,0.00469293
59400,0.00565591,0.00450125
59600,0.00271341,0.00430613
59800,0.000531499,0.00425155
60000,0.000715496,0.00424411
60200,0.00169971,0.00423066
60400,0.00253608,0.00413803
