Iteration #,Relative Residual
1,4.52415e-05
2,4.51539e-05
3,4.49405e-05
4,4.33459e-05
5,3.25144e-05
6,1.19744e-05
7,1.04427e-05
8,5.03296e-06
9,4.54585e-06
10,4.39524e-06
11,2.23578e-06
12,2.04772e-06
13,1.61627e-06
14,1.24883e-06
15,1.14769e-06
16,1.06485e-06
17,9.10672e-07
18,7.63659e-07
19,5.87704e-07
20,5.64746e-07
21,4.6983e-07
22,4.61425e-07
23,4.48512e-07
24,3.66372e-07
25,3.5451e-07
26,2.81697e-07
27,2.40286e-07
28,1.96458e-07
29,1.92224e-07
30,1.879e-07
31,1.87688e-07
32,1.7904e-07
33,1.70337e-07
34,1.69889e-07
35,1.6289e-07
36,1.51169e-07
37,1.50543e-07
38,1.45681e-07
39,1.40584e-07
40,1.40572e-07
41,1.30384e-07
42,1.25298e-07
43,1.17795e-07
44,1.07882e-07
45,9.73817e-08
46,9.0755e-08
47,8.62033e-08
48,5.09141e-08
49,4.94447e-08
50,4.23482e-08
51,3.37637e-08
52,3.3492e-08
53,3.21873e-08
54,3.01882e-08
55,2.90841e-08
56,2.50727e-08
57,2.48425e-08
58,2.28075e-08
59,2.15213e-08
60,2.04411e-08
61,2.03941e-08
62,2.01675e-08
63,1.9617e-08
64,1.94201e-08
65,1.86564e-08
66,1.74957e-08
67,1.72475e-08
68,1.63273e-08
69,1.51491e-08
70,1.48074e-08
71,1.29407e-08
72,1.27481e-08
73,1.16041e-08
74,1.01903e-08
75,9.80139e-09
76,8.64643e-09
77,8.18721e-09
78,7.29487e-09
79,6.79549e-09
80,6.70861e-09
81,5.95316e-09
82,5.76468e-09
83,5.40456e-09
84,4.91593e-09
85,4.62931e-09
86,4.24504e-09
87,4.00107e-09
88,2.89206e-09
89,2.69539e-09
90,2.56071e-09
