Iteration #,Relative Residual
1,2.31077e-05
2,2.30938e-05
3,2.2277e-05
4,1.38977e-05
5,4.60035e-06
6,4.48306e-06
7,3.34089e-06
8,2.52083e-06
9,2.0713e-06
10,1.83048e-06
11,1.78429e-06
12,1.02053e-06
13,9.30897e-07
14,9.21775e-07
15,8.807e-07
16,8.70594e-07
17,5.75866e-07
18,5.55896e-07
19,5.48722e-07
20,5.28842e-07
21,5.15336e-07
22,4.18284e-07
23,4.15801e-07
24,4.02453e-07
25,3.27936e-07
26,2.93307e-07
27,2.31373e-07
28,2.2995e-07
29,2.26302e-07
30,2.11718e-07
31,2.09568e-07
32,2.03377e-07
33,2.02819e-07
34,1.83962e-07
35,1.42319e-07
36,1.37627e-07
37,1.25473e-07
38,1.24856e-07
39,1.1308e-07
40,1.02679e-07
41,1.01453e-07
42,9.92513e-08
43,9.82465e-08
44,8.64098e-08
45,8.43589e-08
46,8.31315e-08
47,7.92167e-08
48,7.58022e-08
49,6.22512e-08
50,6.16192e-08
51,6.16102e-08
52,6.15514e-08
53,5.67623e-08
54,5.45308e-08
55,5.29297e-08
56,5.21286e-08
57,5.17841e-08
58,4.65298e-08
59,4.59992e-08
60,4.54899e-08
61,4.51403e-08
62,4.45506e-08
63,4.17868e-08
64,4.13736e-08
65,4.07812e-08
66,4.03686e-08
67,3.97275e-08
68,3.79305e-08
69,3.76808e-08
70,3.64605e-08
71,3.55772e-08
72,3.5084e-08
73,3.47023e-08
74,3.4537e-08
75,3.19632e-08
76,3.11204e-08
77,3.0286e-08
78,2.9825e-08
79,2.94492e-08
80,2.3246e-08
81,2.26218e-08
82,2.22678e-08
83,2.17928e-08
84,2.13087e-08
85,1.55512e-08
86,1.51722e-08
87,1.45118e-08
88,1.39714e-08
89,1.28169e-08
90,1.1493e-08
91,1.14189e-08
92,1.07094e-08
93,1.01019e-08
94,9.26979e-09
95,8.73884e-09
96,8.67498e-09
97,7.42302e-09
98,7.15151e-09
99,7.04712e-09
100,6.89978e-09
