Iteration #,Relative Residual
1,2.31077e-05
2,2.30938e-05
3,2.2277e-05
4,1.38977e-05
5,4.60035e-06
6,4.48306e-06
7,3.34089e-06
8,2.52083e-06
9,2.0713e-06
10,1.83048e-06
11,1.78429e-06
12,1.02053e-06
13,9.30897e-07
14,9.21775e-07
15,8.807e-07
16,8.70594e-07
17,5.75866e-07
18,5.55896e-07
19,5.48722e-07
20,5.28842e-07
21,5.15336e-07
22,4.18284e-07
23,4.15801e-07
24,4.02453e-07
25,3.27936e-07
26,2.93307e-07
27,2.31373e-07
28,2.2995e-07
29,2.26302e-07
30,2.11718e-07
31,2.09568e-07
32,2.03377e-07
33,2.02819e-07
34,1.83962e-07
35,1.42319e-07
36,1.37627e-07
37,1.25473e-07
38,1.24856e-07
39,1.1308e-07
40,1.02679e-07
41,1.01453e-07
42,9.92513e-08
43,9.82465e-08
44,8.64098e-08
45,8.43589e-08
46,8.31315e-08
47,7.92167e-08
48,7.58022e-08
49,6.22512e-08
50,6.16192e-08
51,6.11218e-08
52,5.28539e-08
53,5.05116e-08
54,4.66674e-08
55,4.55209e-08
56,4.42886e-08
57,3.65802e-08
58,3.60867e-08
59,3.55877e-08
60,3.54084e-08
61,3.33362e-08
62,3.08698e-08
63,3.04398e-08
64,2.9534e-08
65,2.9021e-08
66,2.42527e-08
67,2.29593e-08
68,2.26312e-08
69,2.10099e-08
70,2.04007e-08
71,1.82977e-08
72,1.77731e-08
73,1.76054e-08
74,1.59206e-08
75,1.56146e-08
76,1.49159e-08
77,1.48459e-08
78,1.47808e-08
79,1.35317e-08
80,1.32719e-08
81,1.29459e-08
82,1.28916e-08
83,1.25572e-08
84,1.00507e-08
85,9.76044e-09
86,9.43908e-09
87,9.35798e-09
88,8.9598e-09
89,8.51298e-09
90,8.41582e-09
91,8.05305e-09
92,7.7769e-09
93,7.16619e-09
94,6.84533e-09
95,6.81426e-09
96,6.2399e-09
97,6.00514e-09
98,5.56645e-09
99,5.47613e-09
100,5.45293e-09
