Iteration #,Relative Residual
1,0.995122
2,0.994862
3,0.993635
4,0.968119
5,0.943395
6,0.903534
7,0.878083
8,0.863346
9,0.830016
10,0.828582
11,0.826934
12,0.826445
13,0.815659
14,0.812232
15,0.794887
16,0.790454
17,0.778855
18,0.759335
19,0.745312
20,0.727608
21,0.715741
22,0.707831
23,0.702967
24,0.693112
25,0.678388
26,0.656416
27,0.644461
28,0.64152
29,0.634416
30,0.632214
31,0.628454
32,0.621731
33,0.611442
34,0.606469
35,0.571857
36,0.555473
37,0.534813
38,0.524954
39,0.513818
40,0.5134
41,0.513394
42,0.510353
43,0.476887
44,0.447129
45,0.439023
46,0.432822
47,0.42967
48,0.423756
49,0.416745
50,0.412529
51,0.41172
52,0.411568
53,0.411557
54,0.411498
55,0.411445
56,0.411353
57,0.411062
58,0.410387
59,0.409662
60,0.407611
61,0.404258
62,0.396615
63,0.393748
64,0.391585
65,0.389708
66,0.388081
67,0.384638
68,0.381715
69,0.372402
70,0.36896
71,0.368376
72,0.368334
73,0.368329
74,0.368328
75,0.368265
76,0.367998
77,0.36351
78,0.358824
79,0.356093
80,0.349378
81,0.344828
82,0.341734
83,0.335971
84,0.333596
85,0.332928
86,0.331818
87,0.329078
88,0.327163
89,0.326433
90,0.325838
91,0.32575
92,0.324573
93,0.319234
94,0.30925
95,0.299649
96,0.291256
97,0.285974
98,0.283938
99,0.283698
100,0.283427
101,0.283421
102,0.283413
103,0.283411
104,0.283395
105,0.283376
106,0.283251
107,0.283095
108,0.282857
109,0.282135
110,0.280897
111,0.279242
112,0.274887
113,0.269709
114,0.265143
115,0.263802
116,0.261509
117,0.258796
118,0.255344
119,0.252779
120,0.251184
121,0.249695
122,0.24853
123,0.24793
124,0.246717
125,0.243962
126,0.242623
127,0.24001
128,0.237433
129,0.234328
130,0.229568
131,0.225685
132,0.225046
133,0.224022
134,0.223712
135,0.223497
136,0.222192
137,0.218965
138,0.21636
139,0.214466
140,0.211643
141,0.209602
142,0.208414
143,0.207139
144,0.204361
145,0.203392
146,0.203044
147,0.202645
148,0.202138
149,0.201383
150,0.200246
151,0.200061
152,0.20006
153,0.20006
154,0.200044
155,0.200013
156,0.199944
157,0.199795
158,0.199561
159,0.19918
160,0.198467
161,0.196852
162,0.195099
163,0.194673
164,0.194248
165,0.193596
166,0.19288
167,0.191899
168,0.191272
169,0.189935
170,0.18924
171,0.188913
172,0.1886
173,0.188081
174,0.187434
175,0.186618
176,0.186065
177,0.185244
178,0.184594
179,0.181762
180,0.178831
181,0.177306
182,0.176716
183,0.176267
184,0.17612
185,0.175892
186,0.1754
187,0.173527
188,0.172548
189,0.171809
190,0.171103
191,0.170185
192,0.169134
193,0.167158
194,0.165175
195,0.163959
196,0.163357
197,0.162962
198,0.162858
199,0.162522
200,0.161949
201,0.161929
202,0.161886
203,0.161883
204,0.161867
205,0.161853
206,0.161835
207,0.16177
208,0.161691
209,0.161439
210,0.160793
211,0.159448
212,0.15744
213,0.15565
214,0.154757
215,0.154291
216,0.153674
217,0.153165
218,0.152442
219,0.150872
220,0.150306
221,0.150071
222,0.149942
223,0.149832
224,0.149628
225,0.14869
226,0.147725
227,0.144942
228,0.143171
229,0.141317
230,0.139753
231,0.138524
232,0.138208
233,0.137226
234,0.136726
235,0.136366
236,0.135601
237,0.133785
238,0.132625
239,0.131073
240,0.129767
241,0.127673
242,0.126795
243,0.125399
244,0.123867
245,0.122467
246,0.122043
247,0.12192
248,0.121797
249,0.121524
250,0.120805
251,0.120621
252,0.12058
253,0.120579
254,0.120579
255,0.120579
256,0.120576
257,0.120515
258,0.12012
259,0.119914
