Iteration #,Relative Residual
447,0.0506879
448,0.0489113
449,0.047428
450,0.0468917
451,0.0468555
452,0.0464495
453,0.0459184
454,0.0457042
455,0.0455258
456,0.0447924
457,0.0442316
458,0.0436341
459,0.0421639
460,0.0410146
461,0.0399705
462,0.0392934
463,0.0388561
464,0.0380694
465,0.0374055
466,0.0367608
467,0.0359417
468,0.035171
469,0.0344409
470,0.0341464
471,0.0340322
472,0.034023
473,0.0340191
474,0.0340129
475,0.0339685
476,0.0337118
477,0.033271
478,0.0331329
479,0.0330171
480,0.0329055
481,0.0328803
482,0.0328731
483,0.0328669
484,0.0328551
485,0.0328513
486,0.0328469
487,0.0328454
488,0.032838
489,0.0328315
490,0.0328173
491,0.0327485
492,0.0325061
493,0.0322916
494,0.0321013
495,0.0319612
496,0.0318228
497,0.031328
498,0.0312345
499,0.031082
500,0.0309989
501,0.0308716
502,0.0308191
503,0.0307023
504,0.0305024
505,0.030115
506,0.029744
507,0.0289983
508,0.0288855
509,0.0286997
510,0.0282419
511,0.0281046
512,0.0279299
513,0.027886
514,0.0278847
515,0.0278847
516,0.0278814
517,0.0277994
518,0.0275618
519,0.0271951
520,0.0270286
521,0.0267231
522,0.0266086
523,0.026497
524,0.0264571
525,0.0263025
526,0.0260386
527,0.0257831
528,0.0255028
529,0.0250002
530,0.0248742
531,0.0248251
532,0.0248002
533,0.0247974
534,0.0247945
535,0.0247935
536,0.0247784
537,0.0246698
538,0.0244412
539,0.0243191
540,0.0241072
541,0.0240456
542,0.0240144
543,0.0240094
544,0.0240067
545,0.0240066
546,0.0240022
547,0.0239792
548,0.0239465
549,0.0239288
550,0.0239188
551,0.023887
552,0.0237881
553,0.023727
554,0.0236651
555,0.0236488
556,0.0236277
557,0.023584
558,0.0234312
559,0.023207
560,0.0231705
561,0.0231349
562,0.0230382
563,0.0229223
564,0.0228253
565,0.0226435
566,0.0225404
567,0.0224556
568,0.0223204
569,0.0221683
570,0.022013
571,0.0219698
572,0.0219194
573,0.0219145
574,0.0219101
575,0.0219068
576,0.0218951
577,0.0218781
578,0.0218407
579,0.0218124
580,0.0217218
581,0.021572
582,0.0214736
583,0.0214307
584,0.0212993
585,0.0212277
586,0.0211218
587,0.0210768
588,0.0210071
589,0.0207169
590,0.0206541
591,0.0206345
592,0.0206329
593,0.0206271
594,0.0206262
595,0.0206217
596,0.0205403
597,0.0204629
598,0.0203797
599,0.0203147
600,0.0202285
601,0.0202154
602,0.0202041
603,0.020204
604,0.020204
605,0.0202039
606,0.0201985
607,0.0201931
608,0.0201681
609,0.0201478
610,0.0201104
611,0.0200471
612,0.0200043
613,0.0199596
614,0.0199353
615,0.0199084
616,0.0198821
617,0.0198348
618,0.0197798
619,0.0196662
620,0.0196361
621,0.0195938
622,0.0195303
623,0.0194143
624,0.0192724
625,0.0191399
